Employees by rezidence from Active Population 2019 (%),Living space per person 2020 (sqm),Voters present at the polls for the referendum 2018 (%),Locality with public airports (dummy),Primary education (4 grades) 2011 (%),Elderly (65+) 2020 (%),Relative poverty 2016 (%),Neoprotestants from Population 2011 (%),Migration experience,Maximum Covid 19 Incidence Rate 3rd Wave,Core city,Peri-urban City,Peri-urban Village,Size 100T+,School enrollment to young population 2019 (%),Vaccination Rate 05.10.2021,siruta,Vaccination Rate 26.05.2021
0.071625344,17.90323887,0.197507191,0,0.24164859,0.247368421,0.399618321,0.0038,33.39291907,2.45,0,0,1,0,0.645429363,8.7,153400.0,6.44
0.0586481109999999,19.38157182,0.128396739,0,0.302578797,0.245528455,0.410243145,0.0488,30.49866208,2.76,0,0,0,0,0.6398809520000001,8.99,152314.0,6.93
0.359662411,21.23761562,0.175192323,0,0.225239617,0.227612196,0.130108859,0.0112,53.18243882,9.66,1,0,0,0,0.841919192,21.32,151978.0,17.24
0.097203728,16.83467742,0.471290082,0,0.310344828,0.393145161,0.380582524,0.0084,51.75784091,2.09,0,0,1,0,0.304964539,24.65,151709.0,14.64
0.18904824,20.94339623,0.476752768,0,0.285714286,0.382250175,0.459733672,0.0012,17.57516428,5.51,0,0,1,0,0.496124031,15.72,155118.0,13.21
0.067713787,23.97274417,0.20892073,0,0.286694387,0.281437126,0.420163281,0.0052,50.22639119,2.54,0,0,1,0,0.591596639,16.13,151736.0,10.67
0.050909091,17.73903312,0.30655821,0,0.269749518,0.249776186,0.5598146589999999,0.0004,36.96305761,3.59,0,0,1,0,0.635416667,16.85,125588.0,9.34
0.063233044,23.32786421,0.137199875,0,0.343490305,0.328712871,0.400576369,0.0335,50.72843447,1.44,0,0,1,0,0.5847255370000001,22.98,152234.0,15.39
0.05811138,21.64666667,0.300688195,0,0.224566338,0.3,0.509865471,0.0009,27.26684897,0.0,0,0,1,0,0.577777778,22.39,127938.0,13.05
0.128543689,15.66713287,0.293398533,0,0.368368032,0.15967366,0.179945055,0.0049,58.81703243,0.22,1,0,0,0,0.573700954,15.28,70879.0,10.95
0.08713355,26.75242718,0.21174569,0,0.336976321,0.269196823,0.511026293,0.0509,30.77426631,1.71,0,0,0,0,0.636604775,11.56,103194.0,7.73
0.067288802,23.0636022,0.491616577,0,0.273533007,0.309916161,0.3502717389999999,0.011,50.78128023,0.0,0,0,1,0,0.5935828879999999,18.05,127251.0,12.73
0.088531187,21.42735043,0.613433859,0,0.330519481,0.272893773,0.6701449279999999,0.0,17.57516428,0.0,0,0,0,0,0.693548387,19.23,130339.0,11.54
0.083575581,22.09293245,0.276886792,0,0.335413417,0.264740336,0.399564902,0.0204,31.06727549,2.74,0,0,0,0,0.668817204,8.65,153589.0,5.88
0.105706268,27.40718858,0.119251337,0,0.290799815,0.37469227,0.560612889,0.0026,31.38645651,6.98,0,0,0,0,0.678217822,16.35,154460.0,11.09
0.060367454,19.60948342,0.220389171,0,0.33231591,0.304163454,0.640328924,0.0,33.96704637,1.17,0,0,0,0,0.6094890510000001,20.55,127224.0,12.26
0.081618169,22.08950617,0.224988683,0,0.301755669,0.283179012,0.330645161,0.0051,24.58179248,3.03,0,0,0,0,0.515,21.15,105909.0,17.72
0.102132435,24.84794605,0.3637602179999999,0,0.325890163,0.32801962,0.599096556,0.005,41.99819836,0.0,0,0,1,0,0.927835052,18.63,129282.0,10.23
0.065271373,23.08661059,0.144593895,0,0.259584296,0.233689475,0.55010846,0.0,29.63753669,0.69,0,0,1,0,0.6759776540000001,21.83,127368.0,11.81
0.21782541,21.3741747,0.217958297,0,0.154093647,0.214840783,0.240256864,0.0022,39.43556079,0.94,1,0,0,0,1.176688633,30.03,125542.0,23.94
0.055869242,19.1928081,0.32006466,0,0.279659448,0.27574991,0.620177535,0.0042,44.68514835,1.27,0,0,1,0,1.091338583,26.48,71607.0,18.93
0.079510703,19.34133238,0.244715447,0,0.252535852,0.276862464,0.580656186,0.0743,63.61549355,3.25,0,0,0,0,0.588888889,18.37,152500.0,11.46
0.13003663,23.31034483,0.170517052,0,0.275909719,0.343842365,0.400275735,0.0021,17.57516428,1.5,0,0,0,0,0.53164557,21.24,179739.0,12.05
0.037634409,19.06802721,0.276501112,0,0.272936534,0.256235828,0.239877301,0.0003,39.71355317,0.66,0,0,0,0,0.653301887,10.38,129745.0,5.11
0.0537634409999999,22.52518337,0.264035575,0,0.2685990339999999,0.272860636,0.6000918270000001,0.0,33.2891524,0.49,0,0,1,0,0.653571429,8.93,129629.0,4.34
0.075898802,20.41289332,0.53668942,0,0.296838859,0.308518803,0.41954023,0.0,33.42971688,0.0,0,0,1,0,0.6756756759999999,23.93,129718.0,15.41
0.192065491,20.83339047,0.142633229,0,0.30841729,0.311621529,0.419521655,0.0088,23.99633258,1.02,0,0,0,0,0.928571429,24.04,153561.0,14.26
0.101719198,19.41163605,0.392659628,0,0.289923954,0.247156605,0.460370995,0.0017,49.09865374,5.25,0,0,1,0,0.485714286,14.47,100549.0,10.14
0.037225705,18.29876847,0.3054242,0,0.268178457,0.245320197,0.599953129,0.0009,35.76708549,0.5,0,0,1,0,0.646341463,16.98,129460.0,9.69
0.078443484,21.275336,0.376086057,0,0.234386757,0.290228841,0.41011236,0.0007,40.20786107,0.74,0,0,1,0,0.637873754,25.15,129898.0,17.23
0.077620968,17.84223301,0.19571231,0,0.24120603,0.273058252,0.630599186,0.0,17.57516428,1.8,0,0,1,0,0.5561497329999999,22.82,130375.0,11.23
0.091390728,18.78179082,0.442307692,0,0.378294574,0.267118134,0.480742779,0.0361,58.96534195,0.7,0,0,0,0,0.375,9.74,152662.0,7.87
0.060294118,26.07379518,0.411231884,0,0.26405868,0.311746988,0.490855889,0.0213,17.57516428,0.75,0,0,0,0,0.723502304,17.14,74867.0,11.38
0.037012113,24.86591977,0.456654991,0,0.291830182,0.280086737,0.309407666,0.0022,35.54386327,2.11,0,0,0,0,0.5515695070000001,11.39,72463.0,7.28
0.098883573,29.18657938,0.6302521010000001,0,0.2487765089999999,0.3428805239999999,0.45984252,0.0,27.05937913,4.03,0,0,0,0,0.5786163520000001,24.8,72980.0,18.68
0.04006734,21.71410917,0.204504735,0,0.248838915,0.189907312,0.6995734309999999,0.0068,40.73687583,0.21,0,0,0,0,0.6127562639999999,14.66,72034.0,7.72
0.061546841,23.36381579,0.314690529,0,0.314471879,0.266118421,0.560074511,0.0028,35.99730331,0.33,0,0,1,0,0.944297082,13.84,126148.0,8.12
0.0861943019999999,20.95588847,0.386048734,0,0.24980484,0.270495214,0.620557891,0.001,31.96554651,0.83,0,0,1,0,0.55801105,15.45,127750.0,7.68
0.030460767,13.168611300000002,0.394194616,0,0.381138897,0.163806909,0.6791785509999999,0.0233,55.18552245,0.91,0,0,1,0,0.3660855779999999,14.08,73996.0,8.85
0.032420749,20.1377551,0.171157685,0,0.3863958429999999,0.234301413,0.698932927,0.0266,31.87154348,0.0,0,0,0,0,0.509127789,13.89,72579.0,7.6
0.100656455,27.15121087,0.387887527,0,0.351256575,0.2652096869999999,0.609905398,0.0051,23.77596479,1.19,0,0,0,0,0.661016949,7.43,103309.0,4.66
0.035196687,20.1844894,0.296173961,0,0.227219489,0.271917148,0.410198556,0.011,43.95284011,0.49,0,0,0,0,0.603873239,14.77,125962.0,9.77
0.136195753,20.18242123,0.433779994,0,0.362486545,0.2418858089999999,0.480688692,0.025,42.06537957,0.24,0,0,0,0,0.592298981,11.28,70897.0,8.0
0.040688576,15.30074257,0.326376812,0,0.607907743,0.177392739,0.482570349,0.0004,44.6706733,0.0,0,0,1,0,0.548172757,5.51,73460.0,2.19
0.110719875,19.65672745,0.247275775,0,0.495857394,0.238541153,0.5602325579999999,0.0018,30.37114049,0.49,0,0,0,0,0.610671937,18.95,128588.0,10.55
0.126478617,21.63905325,0.306894448,0,0.285345717,0.271113502,0.6202338589999999,0.0,24.55281534,0.52,0,0,0,0,0.662601626,14.19,126077.0,10.27
0.044129892,39.01259651,0.4857278779999999,0,0.279728651,0.33929297,0.310238645,0.0069,35.92437288,0.41,0,0,0,0,0.643979058,22.13,72640.0,16.32
0.035238095,14.43609756,0.3257305769999999,0,0.5173587470000001,0.168292683,0.660865241,0.0055,17.57516428,3.77,0,0,0,0,0.578947368,5.43,74842.0,2.89
0.1194690269999999,33.35890411,0.4185022029999999,0,0.4403073289999999,0.435616438,0.470659407,0.0,32.95473148,0.0,0,0,0,0,0.489655172,18.46,154344.0,7.29
0.1680867539999999,24.41572526,0.711028632,0,0.307586837,0.2516945319999999,0.5502958579999999,0.0008,28.99516869,4.94,0,0,0,0,0.613180516,12.28,104715.0,7.58
0.0269072489999999,23.41792508,0.5245641839999999,0,0.2965517239999999,0.248676211,0.420011523,0.0116,49.30647811,0.59,0,0,1,0,0.619354839,12.27,71858.0,6.0
0.046653144,22.05034325,0.438239159,0,0.31452514,0.296338673,0.459034183,0.0061,35.46710323,1.69,0,0,1,0,0.544680851,20.54,74108.0,11.67
0.067599068,20.33885438,0.38793806,0,0.213213213,0.258109041,0.629530201,0.0033,17.57516428,1.37,0,0,0,0,0.666666667,21.21,130320.0,14.81
0.081645181,18.39153846,0.180855757,0,0.214526395,0.224615385,0.509701493,0.0037,39.58757867,2.66,0,0,0,0,0.566860465,16.7,129184.0,9.12
0.106189665,20.19358934,0.296613191,0,0.270013123,0.320533164,0.220281863,0.1415,56.37563491,1.89,0,0,1,0,0.558583106,13.46,104519.0,8.58
0.0261945879999999,18.72699606,0.377904607,0,0.245483528,0.24650913,0.501368925,0.0002,43.44895702,2.15,0,0,1,0,0.62202381,19.11,71956.0,11.91
0.043715847,23.38554217,0.320261438,0,0.199223803,0.2821813569999999,0.370325694,0.0,17.57516428,7.66,0,0,0,0,0.675257732,20.09,74883.0,12.36
0.041137326,17.1726372,0.189510798,0,0.173878836,0.2305640239999999,0.631289019,0.0,28.15124321,1.15,0,0,0,0,0.684684685,13.69,128560.0,8.9
0.033854167,19.86538934,0.202741473,0,0.322857143,0.205846229,0.379006606,0.003,52.93930996,1.21,0,0,0,0,0.650314465,14.27,70940.0,8.76
0.105194805,22.40199726,0.221111735,0,0.3237410069999999,0.259839436,0.4001884129999999,0.0053,36.33254215,0.68,0,0,0,0,0.806549886,19.84,73736.0,13.36
